entrez,symbol
5471,PPAT
80150,ASRGL1
2184,FAH
200010,SLC5A9
8789,FBP2
5321,PLA2G4A
501,ALDH7A1
8435,SOAT2
1723,DHODH
6389,SDHA
5034,P4HB
80142,PTGES2
348,APOE
28972,SPCS1
246213,SLC17A8
3614,IMPDH1
3177,SLC29A2
2517,FUCA1
56994,CHPT1
2618,GART
158,ADSL
28232,SLCO3A1
10020,GNE
8228,PNPLA4
2110,ETFDH
377677,CA13
2132,EXT2
1607,DGKB
4199,ME1
65220,NADK
5333,PLCD1
51302,CYP39A1
81579,PLA2G12A
284129,SLC26A11
788,SLC25A20
3421,IDH3G
79901,CYBRD1
79586,CHPF
5152,PDE9A
64772,ENGASE
80055,PGAP1
6649,SOD3
54578,UGT1A6
60490,PPCDC
10423,CDIPT
57818,G6PC2
2974,GUCY1B2
6512,SLC1A7
9187,SLC24A1
6570,SLC18A1
29926,GMPPA
94033,FTMT
10935,PRDX3
5409,PNMT
57733,GBA3
2990,GUSB
120103,SLC36A4
94005,PIGS
1374,CPT1A
6517,SLC2A4
10654,PMVK
3141,HLCS
50814,NSDHL
112,ADCY6
23556,PIGN
5264,PHYH
6539,SLC6A12
15,AANAT
55361,PI4K2A
635,BHMT
4728,NDUFS8
765,CA6
6550,SLC9A3
7350,UCP1
1384,CRAT
5625,PRODH
211,ALAS1
8854,ALDH1A2
58510,PRODH2
7296,TXNRD1
128,ADH5
26290,GALNT8
2752,GLUL
84735,CNDP1
6480,ST6GAL1
26330,GAPDHS
5232,PGK2
280,AMY2B
3420,IDH3B
245973,ATP6V1C2
2820,GPD2
28982,FLVCR1
191,AHCY
54682,MANSC1
108,ADCY2
2395,FXN
8528,DDO
6554,SLC10A1
81490,PTDSS2
85365,ALG2
55326,AGPAT5
495,ATP4A
51179,HAO2
55748,CNDP2
5209,PFKFB3
6555,SLC10A2
6531,SLC6A3
55907,CMAS
91373,UAP1L1
29796,UQCR10
1468,SLC25A10
1200,TPP1
257202,GPX6
79087,ALG12
240,ALOX5
1788,DNMT3A
6513,SLC2A1
344,APOC2
1160,CKMT2
5238,PGM3
54539,NDUFB11
23464,GCAT
7360,UGP2
5337,PLD1
4758,NEU1
1503,CTPS1
2876,GPX1
1962,EHHADH
98,ACYP2
2235,FECH
83852,SETDB2
6392,SDHD
231,AKR1B1
5130,PCYT1A
2643,GCH1
166012,CHST13
4051,CYP4F3
6483,ST3GAL2
6487,ST3GAL3
4722,NDUFS3
118881,COMTD1
54659,UGT1A3
763,CA5A
57134,MAN1C1
9481,SLC25A27
51604,PIGT
126792,B3GALT6
25769,SLC24A2
10327,AKR1A1
144195,SLC2A14
6833,ABCC8
8974,P4HA2
6514,SLC2A2
9060,PAPSS2
6528,SLC5A5
115584,SLC5A11
23761,PISD
33,ACADL
4696,NDUFA3
7167,TPI1
51523,CXXC5
9651,PLCH2
4258,MGST2
341947,COX8C
4704,NDUFA9
6675,UAP1
132158,GLYCTK
5224,PGAM2
10588,MTHFS
218,ALDH3A1
47,ACLY
1572,CYP2F1
51005,AMDHD2
1786,DNMT1
1544,CYP1A2
84532,ACSS1
25902,MTHFD1L
4702,NDUFA8
8879,SGPL1
476,ATP1A1
3028,HSD17B10
56474,CTPS2
114971,PTPMT1
56898,BDH2
3158,HMGCS2
4831,NME2
