entrez,symbol
5805,PTS
11320,MGAT4A
277,AMY1B
2027,ENO3
279,AMY2A
641371,ACOT1
220,ALDH1A3
11227,GALNT5
6538,SLC6A11
6507,SLC1A3
10005,ACOT8
1159,CKMT1B
2678,GGT1
157506,RDH10
80339,PNPLA3
162417,NAGS
5141,PDE4A
84444,DOT1L
30,ACAA1
8706,B3GALNT1
6521,SLC4A1
27430,MAT2B
5150,PDE7A
64064,OXCT2
766,CA7
1543,CYP1A1
7351,UCP2
51703,ACSL5
1635,DCTD
4718,NDUFC2
533,ATP6V0B
