,TCGA-E1-5319,TCGA-CS-6668,TCGA-IK-7675
ENST00000567462,0.13,0.44,0.32
ENST00000473263,0.19,0.15,0.38
ENST00000527006,0.17,0.32,0.25
ENST00000346834,0,0,0
ENST00000591924,0.49,0.62,0.75
ENST00000530076,0,0,0.05
ENST00000416793,0,0,0
ENST00000429642,0.33,0.6,0.46
ENST00000429644,1.92,5.88,6.3
ENST00000430249,0.34,3.63,1.54
ENST00000309881,0,0,0
ENST00000502716,0,0.11,0.14
ENST00000439502,0.5,0.4,0.27
ENST00000262520,0.5,0.18,0.89
ENST00000417551,3.12,5.27,3.59
ENST00000585489,0,0,0
ENST00000588968,0,0,0.04
ENST00000585480,0.4,0.27,0.49
ENST00000406391,0,0,0
ENST00000511719,0.15,0.73,0.38
ENST00000406396,15.53,14.22,13.01
ENST00000453446,0.5,0.78,0.2
ENST00000591651,0.03,0.06,0
ENST00000340802,0.93,0.29,1.95
ENST00000340800,0.26,0.42,0.12
ENST00000258672,0.2,0.44,0.05
ENST00000586613,0,0,0
ENST00000517314,0.95,0.27,0.69
ENST00000446946,0.37,0.03,0.1
ENST00000517312,7.55,13.75,11.04
ENST00000529184,1.38,0.88,1.09
ENST00000578544,0.09,0.09,0.13
ENST00000525748,0,0,0
ENST00000488061,0.1,0.6,0.22
ENST00000557433,10.51,11.17,1.9
ENST00000446941,0.58,0.19,0.42
ENST00000314669,0,0,0
ENST00000314134,2.42,3.23,1.43
ENST00000339797,0,0,0
ENST00000585361,5.67,5.11,4.82
ENST00000314666,4.25,13.19,4.54
ENST00000300283,0,0,0
ENST00000503391,0.23,0.15,0.02
ENST00000497289,3.11,5.5,2.68
ENST00000590862,0,0,0
ENST00000265174,48.09,41.74,61.93
ENST00000366963,0.05,0.09,0
ENST00000502386,0.04,0,0.06
ENST00000557556,0,0,0.14
ENST00000529236,0.5,0.3,0.39
ENST00000371872,0.26,0,0.06
ENST00000371871,0.13,0.2,0.21
ENST00000528048,0.12,0.13,0.06
ENST00000463055,0.03,0,0.06
ENST00000373768,62.23,38.05,37.96
ENST00000456124,0,0,0
ENST00000461744,0.14,0.21,1.64
ENST00000380241,1.79,3.89,4.51
ENST00000263980,3.36,2.75,5.32
ENST00000265715,0.2,0.22,0.34
ENST00000532911,0.05,0.06,0.06
ENST00000534775,5.49,4.92,2.71
ENST00000359944,13.11,7.85,8.37
ENST00000546192,0.05,0.19,0.12
ENST00000405867,0.26,0.45,0.35
ENST00000236137,3.05,6.43,3.35
ENST00000522176,0.05,0,0
ENST00000426263,76.89,22.02,39.82
ENST00000443864,0.46,1.56,1.24
ENST00000261381,12.05,29.9,4.81
ENST00000556689,0,0,0
ENST00000488420,0,0,0.05
ENST00000357637,0.8,0.98,1.05
ENST00000357639,0.07,0,0.04
ENST00000556932,0,0,0
ENST00000509948,0.57,1.48,1.65
ENST00000515320,6.01,0.08,0.78
ENST00000576856,0,0.12,0.1
ENST00000579886,0,0,0
ENST00000523807,0,0,0
ENST00000462898,0.12,0,0
ENST00000546999,0,0,0
ENST00000564178,0,0,0.13
ENST00000430410,0.17,0.14,0.81
ENST00000521573,0,0,0
ENST00000430403,0.03,0,0
ENST00000519328,0.21,0.16,0.09
ENST00000580611,1.11,1.03,0.89
ENST00000412795,0.13,0.07,0
ENST00000544598,0.47,0.55,0.59
ENST00000555012,0,0,0
ENST00000381042,1.02,0.27,0.24
ENST00000377823,0,0,0
ENST00000536612,0.05,0.08,0.06
ENST00000531934,0.12,0.57,0.76
ENST00000366726,0,0,0
ENST00000423725,0.52,0,2.53
ENST00000462091,1.1,0,0
ENST00000578684,0,0,0.06
ENST00000572995,0,0,0.66
ENST00000592383,0,0.04,0
ENST00000260386,1.52,2.98,1.29
ENST00000595387,0,0,0
ENST00000538721,12.68,6.44,7.99
ENST00000374299,0.12,0.48,1.51
ENST00000537523,0.06,0,0
ENST00000415210,0.22,0.77,0.06
ENST00000412247,0.08,0.14,0
ENST00000412532,1.99,0.8,2.87
ENST00000377928,3.9,0.96,0.08
ENST00000527275,0.24,0.34,0.09
ENST00000458283,0.54,0,0.3
ENST00000436587,4.18,3.31,5.88
ENST00000559106,0,0,0
ENST00000378473,0.37,0.01,0.28
ENST00000559102,0,0,0
ENST00000581620,0,0.77,0.18
ENST00000381072,2.64,1.3,9.47
ENST00000545467,0.18,0.52,0.76
ENST00000438634,0,0,0
ENST00000328111,0.09,0,0.09
ENST00000502942,0.04,0.12,0.11
ENST00000483224,1.31,2.28,0.96
ENST00000600601,0,0,0
ENST00000219789,9.6,7.55,6.36
ENST00000518327,0,0.08,0.23
ENST00000585671,0.04,0.44,0.46
ENST00000558472,0,1.21,0
ENST00000515815,0,0,0.06
ENST00000565758,0.37,0.72,1.53
ENST00000583534,0,0.11,0.17
ENST00000449107,0.41,1.49,0.36
ENST00000528606,0,0,0
ENST00000599246,0.04,0.13,0.57
ENST00000469328,0.12,1.48,0.56
ENST00000554768,0,0,0.18
ENST00000313468,56.11,36.22,67.2
ENST00000340781,0,0.01,0.03
ENST00000550422,1.85,2.7,3.72
ENST00000510370,0,0.26,0.21
ENST00000439761,0.33,0.52,0.25
ENST00000225609,0.36,0.95,0.63
ENST00000434185,0,0,0.39
ENST00000531203,0,0,0
ENST00000558217,0.79,0.14,0.67
ENST00000463876,9.04,10.52,14.96
ENST00000421649,0.07,0,0.04
ENST00000539050,0,0,0
ENST00000451391,0,0,0
ENST00000376521,1.22,1.99,0.88
ENST00000520059,0.23,0.05,1.1
ENST00000371514,8.17,9.62,38.72
ENST00000402551,0.5,0.5,1.24
ENST00000371513,1.24,0.69,1.56
ENST00000468036,0,0.15,0.06
ENST00000468746,0,0,0
ENST00000394434,15.33,23.89,10.52
ENST00000418797,0,0.07,0
ENST00000394439,0.86,0.76,0.95
ENST00000392376,0.51,0.08,0.69
ENST00000392379,0,0,0
ENST00000433983,18.11,11.48,18.41
ENST00000561905,0.16,0,0
ENST00000456706,0,0,0
ENST00000564917,0.14,0.1,0.26
ENST00000500813,0.31,0,1.14
ENST00000481885,0,0.14,0.24
ENST00000323940,0,0,0
ENST00000610140,3.88,5.62,5.12
ENST00000374282,3.51,2.09,4.54
ENST00000453390,1.8,2.37,1.99
ENST00000571074,25.21,19.53,18.71
ENST00000534183,0.18,0.44,0.5
ENST00000534180,656.39,232.4,409.36
ENST00000534186,0,0,0
ENST00000354655,0.06,0,0
ENST00000546342,0,0.21,0.08
ENST00000552351,0,0,0
ENST00000430186,0.08,0.2,0.03
ENST00000521232,0,0.12,0.07
ENST00000487300,0,0.09,0.2
ENST00000427720,0.17,0.37,0.41
ENST00000532035,1.14,2.62,0.59
ENST00000417946,0.06,0.59,0.11
ENST00000535587,0,0,0
ENST00000397925,0.07,0,0
ENST00000470299,0,0.41,0.1
ENST00000534981,0.17,0.56,0.4
ENST00000538177,0,0,0
ENST00000426989,0.08,0.04,2.88
ENST00000424636,0,0,0
ENST00000344089,0,0,0
ENST00000470705,0,0.06,0
ENST00000395346,5.56,9.15,8.91
ENST00000337841,2.63,3.08,3.27
ENST00000427851,3.02,3.08,8.77
ENST00000366576,1.74,1.28,0.59
ENST00000366577,3.95,5.93,5.14
ENST00000427854,0.12,0.49,0.07
ENST00000255266,0.21,0.5,0.32
ENST00000535366,2.25,4.59,7.23
ENST00000261465,1.32,0.8,0.17
ENST00000367229,1.94,0.44,0.21
ENST00000561555,0.43,0.34,0.66
ENST00000454629,0,0,0
ENST00000563556,0,0,0
ENST00000559482,0.04,0.03,0
ENST00000319769,11.05,12.56,10.19
ENST00000559484,0,0,0
ENST00000432728,0,0,0.05
ENST00000586425,0,0,0
ENST00000511956,0,0,0.09
ENST00000547342,0.1,0.62,0.31
ENST00000341695,2.88,3.87,6.05
ENST00000507462,0,0,0
ENST00000455976,0.46,1.71,1.75
ENST00000342343,5.74,8.16,0.89
ENST00000342348,0.04,0.14,0
ENST00000546833,0.12,0.23,0.1
ENST00000293217,12.73,13.17,21.97
ENST00000559664,4.23,6.59,2.98
ENST00000394586,0.29,0,0.33
ENST00000461682,0.09,0.19,0.09
ENST00000432467,0,0,0
ENST00000547122,0,0,0.01
ENST00000276373,0.53,0.37,0
ENST00000375329,0.11,0,0
ENST00000512422,0,0.16,0.25
ENST00000459884,0,0.12,0.31
ENST00000522814,0,0,0
ENST00000486165,0.22,0,0.41
ENST00000523149,0.06,0,0
ENST00000462138,1.72,1.62,0.87
ENST00000523634,0,0,0
ENST00000523635,0,0,0
ENST00000528858,0,0,0
ENST00000560028,0.04,0.05,0
ENST00000472629,0.21,0,0.12
ENST00000436118,0.45,0.18,0.44
ENST00000268758,17.38,14.89,11.79
ENST00000375326,3.12,0.5,1.21
ENST00000379244,7.48,1.74,2.13
ENST00000509539,0.1,0.36,0.1
ENST00000562831,0.19,0.17,0
ENST00000398158,45.3,9.91,15.6
ENST00000544696,0,0.11,0.14
ENST00000404814,0,0.78,1.21
ENST00000409391,0,0.11,0.05
ENST00000332972,0,0,0
ENST00000403092,0,0,0.02
ENST00000543337,0,0,0
ENST00000548345,0.07,0.19,0
ENST00000561120,0,0,0
ENST00000393818,6.01,11.93,9.47
ENST00000402943,0.41,0,0
ENST00000444305,0.05,0.1,0
ENST00000393810,2.36,2.44,1.6
ENST00000540367,0.33,0.15,0.06
ENST00000393812,34.24,31.93,22.26
ENST00000493112,0.04,0.51,0.11
ENST00000449563,0.24,0.89,0.78
ENST00000543314,0,0,0
ENST00000491768,0.21,0,0.43
ENST00000573566,11.77,2.85,3.24
ENST00000576040,0,0.08,0.08
ENST00000494066,0.11,0.02,0.36
ENST00000505283,12.69,7.25,1.78
ENST00000519154,0,0,0
ENST00000548698,0,0,0
ENST00000519157,0,0,0
ENST00000258873,8.42,2.08,1.25
ENST00000258874,7.01,8.13,9.25
ENST00000567177,0,0.07,0
ENST00000474701,0.05,0.16,0.12
ENST00000222214,4.91,4.29,3.52
ENST00000493875,1.37,1.39,3.86
ENST00000585244,0.12,0,0.06
ENST00000446860,0.19,0,0.1
ENST00000369626,65,15.14,30.61
ENST00000547964,0,0,0
ENST00000369620,0,0,0.07
ENST00000582735,0.05,0.18,0.08
ENST00000421184,0,0,0
ENST00000395647,0,0,0
ENST00000395645,0,0,0
ENST00000429402,0,0,0.04
ENST00000395643,0,0,0
ENST00000502933,0.05,0.09,0.08
ENST00000540759,4.07,1.52,10.17
ENST00000308360,3.62,3.52,1.09
ENST00000393766,18.22,14.99,2.7
ENST00000540753,0.05,0.02,0.08
ENST00000473285,0,0.32,0
ENST00000373225,4.49,3.58,5.07
ENST00000377028,0.43,0.81,3.76
ENST00000565769,0.72,0.33,0
ENST00000373228,0,0,0
ENST00000518980,0,0,0
ENST00000562168,1.26,4.7,3.37
ENST00000396198,0,0,0
ENST00000325234,1.53,0.29,1.27
ENST00000219334,3.51,11.27,2.7
ENST00000396193,0.94,0.19,0.3
ENST00000448642,0.27,0.22,0.31
ENST00000396191,0.63,0.14,0.11
ENST00000396197,8.03,8.32,5.6
ENST00000396196,0.18,0.57,0.08
ENST00000347596,0.08,0.05,0.03
ENST00000375773,0.05,0,0
ENST00000495911,0,0,0
ENST00000304895,4.8,0.55,1.79
ENST00000390015,18.13,17.23,36.69
ENST00000502770,0.02,0.08,0.14
ENST00000264990,4.54,4.6,4.78
ENST00000200652,3.56,3.33,1.02
ENST00000557180,0.12,0.46,0.51
ENST00000401494,0,0,0
ENST00000443218,0.05,0,0.13
ENST00000221742,1.64,5.65,2.55
ENST00000493729,0,0,0
ENST00000503820,0.21,0.06,0.28
ENST00000506705,0,0,0
ENST00000506254,0,0.15,0
ENST00000442032,0.08,0.55,0.42
ENST00000439029,0,0,0
ENST00000323798,11.24,7.58,9.81
ENST00000255189,0.28,0.28,0.37
ENST00000586638,0.68,0.1,0.24
ENST00000528615,0,0,0
ENST00000537841,2.43,0.79,1.28
ENST00000418673,0,0,0
ENST00000273908,1.36,2.42,1.82
ENST00000376887,2.37,3.87,4.99
ENST00000424136,0.21,0.1,0
ENST00000524418,0,0.04,0
ENST00000274901,0.56,0.49,0.16
ENST00000524411,0.12,0.26,0
ENST00000524413,0.45,2.16,1.73
ENST00000366905,0.54,0.54,0.27
ENST00000468268,0,0.24,0.16
ENST00000374820,1.39,2.13,0.83
ENST00000557530,2.49,0.57,0.33
ENST00000428130,0.12,0.35,0.46
ENST00000371852,1.39,0.35,3.45
ENST00000374829,0,0.05,0.06
ENST00000525093,0,0,0
ENST00000525090,0,0.52,0
ENST00000583718,0.92,0.39,0.71
ENST00000559704,0,0,0
ENST00000559707,4.15,2.01,0.43
ENST00000474765,3.86,3.15,2.3
ENST00000497621,3.32,0.1,1.95
ENST00000263672,25.73,25.87,33.65
ENST00000552242,0.19,0.21,0.37
ENST00000590107,0,0.06,0
ENST00000256216,44.1,33.57,30.43
ENST00000372500,2.47,0.7,1.27
ENST00000496751,0,0.04,0.04
ENST00000534795,0.04,0.1,0.02
ENST00000288078,4.46,2.95,2.65
ENST00000409144,0.06,0.06,0.47
ENST00000443953,1.63,0.58,3.53
ENST00000300738,11.06,13.7,10.21
ENST00000505507,0.08,0,0
ENST00000559878,0,0.08,0.07
ENST00000559874,0,0,0
ENST00000405807,0,0,0
ENST00000339618,12.63,9.95,13.24
ENST00000580550,0,0.14,0
ENST00000515652,0,0,0
ENST00000305386,8.02,4.88,9.98
ENST00000513431,0,0,0
ENST00000513437,0,0,0
ENST00000538093,0.04,0.09,0.09
ENST00000532244,0.15,2.17,1.33
ENST00000532243,0,0,0
ENST00000301608,0.95,0.47,1.84
ENST00000437439,0.18,0,0.05
ENST00000465828,0.09,0.2,0.21
ENST00000391855,4.44,1.65,2.53
ENST00000446656,0.1,0.12,0.12
ENST00000437808,4.35,4.98,5.26
ENST00000369816,3.38,4.36,2.66
ENST00000389614,0.07,0.04,0.05
ENST00000252519,0.07,0.06,0.31
ENST00000569129,0.09,0.32,0.04
ENST00000377848,1.31,0.76,1.11
ENST00000569127,2.69,4.58,3.1
ENST00000369819,0.46,0.12,0.1
ENST00000399410,1.6,2.18,1.39
ENST00000216540,0.01,0.01,0.01
ENST00000412517,1.47,2.46,1.9
ENST00000567670,0,0,0.04
ENST00000480861,0,0,0
ENST00000352594,0,0,0
ENST00000377905,0.01,0,0
ENST00000527256,0.11,0.19,0.1
ENST00000302262,1.11,1.35,4.32
ENST00000377902,1.4,3.1,0.78
ENST00000293404,1.83,0.26,0.58
ENST00000536493,0.06,0.02,0.04
ENST00000536490,0.04,0,0
ENST00000536491,1.14,1.83,1.92
ENST00000459701,0,0,0
ENST00000396856,627.35,465.54,384.5
ENST00000459873,0,0,0
ENST00000396858,1.53,2.44,1.83
ENST00000396859,808.04,633.55,466.11
ENST00000545405,0.06,0,0
ENST00000514300,0.17,0.04,0.04
ENST00000359548,0,0.1,0.41
ENST00000323418,0.36,0.59,0.3
ENST00000544319,0.03,0.04,0.06
ENST00000358632,0,0.14,0.03
ENST00000574967,0.04,0.05,0.04
ENST00000549778,0,0,0
ENST00000449792,1.32,0.64,0.49
ENST00000355484,0.23,0.26,0.35
ENST00000515872,0.04,0,0.11
ENST00000450646,0,0.03,0
ENST00000528622,0,0,0
ENST00000554741,0,0.02,0.04
ENST00000599265,0,0,0
ENST00000555124,0,0.08,0
ENST00000566674,0.39,0.21,0.14
ENST00000566672,0.05,0.23,0.19
ENST00000589714,0,0,0
ENST00000511370,0.16,0.47,0.31
ENST00000286621,6.32,8.55,17.28
ENST00000371269,51.21,20.76,13.35
ENST00000422166,0,0.04,0.03
ENST00000558239,0,0.03,0
ENST00000439706,0.1,0.33,0
ENST00000418807,0.91,1.42,1.6
ENST00000558231,0,0,0.08
ENST00000431487,0.09,0,0.1
ENST00000585034,0.19,0.7,0.72
ENST00000431484,0,0,0
ENST00000413170,0.15,0.18,0.21
ENST00000413174,0,0,0
ENST00000475842,1.82,0.18,0.04
ENST00000396509,0.28,1.25,0
ENST00000539072,0,0,0
ENST00000520701,0,0,0
ENST00000376503,0.25,0.44,0.31
ENST00000330398,122.86,107.82,105.26
ENST00000456495,0.14,0,0.3
ENST00000495056,0.85,1.43,0.84
ENST00000393487,3.08,2.97,3.94
ENST00000338432,0,0.09,0.12
ENST00000495052,0,0,0
ENST00000338435,1.92,2.57,4.84
ENST00000350997,38.32,50.77,27.18
ENST00000338437,0.04,0.08,0.04
ENST00000377270,1.46,2.63,1.57
ENST00000329559,3.87,0.66,1.87
ENST00000422569,0.04,0,0.04
ENST00000382120,3.19,0.96,1.56
ENST00000371506,0,0,0
ENST00000419522,0,0.03,0.03
ENST00000451114,0.07,0.06,0.32
ENST00000263080,6.09,1.44,2.45
ENST00000591081,0.03,0.03,0.03
ENST00000263088,5.35,3.4,6.34
ENST00000265322,7.25,5.53,5
ENST00000507827,0,0,0
ENST00000550159,0.26,1.12,1.04
ENST00000510428,0,0.05,0
ENST00000350669,641.08,542.37,533.15
ENST00000374752,0.18,0,0.38
ENST00000555431,4.16,1.89,6.05
ENST00000574584,0,0,0
ENST00000443532,0,0.17,0.03
ENST00000314251,0,0,0
ENST00000273063,0.02,0,0
ENST00000479813,0.33,0.33,1.25
ENST00000354631,0.18,0.41,0.6
ENST00000447224,0.1,0.18,0.13
ENST00000447223,0,0,0
ENST00000430167,0,0,0
ENST00000538309,14.55,4.19,23.11
ENST00000535561,0,0,0.23
ENST00000417693,0.31,0.08,0.33
ENST00000394904,0.36,0,0
ENST00000564003,0.04,0.31,0.41
ENST00000520969,0.08,0.27,0.24
ENST00000520967,0.03,0.24,0.06
ENST00000594617,0.48,0.7,0.51
ENST00000375528,0.61,0,0
ENST00000497186,0.18,0.07,0.48
ENST00000476455,0,0,0
ENST00000398058,0,0,0.05
ENST00000568562,0,0.07,0.13
ENST00000560451,0,0.09,0
ENST00000570803,0.29,0.87,1.28
ENST00000326317,5.25,6.09,8.22
ENST00000339868,0.58,0.63,1.29
ENST00000560345,0.57,1.46,1.6
ENST00000558163,0,0,0
ENST00000489986,0,0,0
ENST00000246337,36.99,20.38,51.15
ENST00000522701,0,0,0
ENST00000522707,0.12,0.03,0.15
ENST00000321117,2.05,3.08,2.64
ENST00000480801,0.1,0.29,0.23
ENST00000539780,0,0,0
ENST00000456935,12.32,10.25,8.85
ENST00000559602,0.67,0.02,0
ENST00000419197,0.29,0.55,0.27
ENST00000394019,0.24,0.75,0.4
ENST00000368778,0.37,0.49,0.33
ENST00000368774,0.04,0.1,0.16
ENST00000467400,0.17,0,0.09
ENST00000537040,0,0,0.05
ENST00000360568,1.67,0.45,0.76
ENST00000525283,0,0,0
ENST00000372970,0.44,1.02,1.25
ENST00000563786,1.7,1.19,1.95
ENST00000360566,0,0.04,0.03
ENST00000525289,0,0,0
ENST00000287490,0.08,0,0.76
ENST00000538936,3.69,3.49,3.75
ENST00000592970,0.2,0.47,0.34
ENST00000216484,14.98,5.9,7.23
ENST00000216951,14.04,14.47,16.48
ENST00000566442,1.03,1.36,1.04
ENST00000529705,0.09,0.04,0
ENST00000472647,1.25,0.57,0.61
ENST00000577600,0.46,1.23,1.76
ENST00000537228,0,0,0
ENST00000398138,0.07,0.19,0.45
ENST00000571299,0,0,0
ENST00000418055,0,0,0
ENST00000379264,19.99,9.39,5.36
ENST00000409804,25.08,10.17,13.61
ENST00000509514,0.38,0.12,0.18
ENST00000568311,0.76,0.54,0.16
ENST00000576951,13.86,12.83,11.2
ENST00000568319,0,0,0.12
ENST00000423972,0.52,1.22,1.86
ENST00000361381,8884.79,4733.65,10060.38
ENST00000361389,0,0.28,0.21
ENST00000526390,1.06,0.79,0.28
ENST00000437084,0,0,0
ENST00000402965,0,0,0
ENST00000379198,4.75,6.81,8.06
ENST00000346623,0,0,0.03
ENST00000540309,0,0,0
ENST00000444328,7.39,3.29,5.6
ENST00000458647,0,0,0.22
ENST00000450095,2.28,1.65,1.52
ENST00000307738,5.68,3.05,1.25
ENST00000476181,0.13,1.06,0.78
ENST00000447796,0,0.48,0.28
ENST00000511742,0,0.09,0.11
ENST00000437669,0.21,0,0.1
ENST00000470123,0.56,0.43,0.36
ENST00000532479,0,0,0.08
ENST00000532471,0,0.13,0.06
ENST00000573352,0.04,0,0.16
ENST00000473112,0.12,0.12,0.89
ENST00000580002,0.04,0.02,0.07
ENST00000449320,0,1.36,1.48
ENST00000425687,0,0.12,0.26
ENST00000469796,1.95,2.93,1.45
ENST00000543219,0,0,0
ENST00000319144,0.29,2.27,0.11
ENST00000276609,0.01,0.07,0.19
ENST00000544614,0,0,0.12
ENST00000395621,0.27,0,0.21
ENST00000457318,0,0.01,0
ENST00000409861,0.02,0,0
ENST00000373202,16.31,17.16,23.5
ENST00000550095,0.04,0.11,0.17
ENST00000562141,0,0,0
ENST00000274353,0.05,0.07,0.12
ENST00000445705,0.28,0.33,0.16
ENST00000589891,0,0,0
ENST00000474588,0,0,0
ENST00000455353,0,0,0
ENST00000544960,0,0.02,0.01
ENST00000382164,1.33,4,0.04
ENST00000563898,37.61,37.21,39.13
ENST00000603108,0.13,0,0.14
ENST00000392169,3.37,1.95,2.69
ENST00000326499,0.1,0.02,0
ENST00000351450,0.7,0.65,1.22
ENST00000576936,0.15,0.21,0.04
ENST00000429683,0,0.14,0.17
ENST00000562201,0,0,0
ENST00000572725,0,0,0
ENST00000304567,0.43,1.91,2.98
ENST00000572727,0,0,0.08
ENST00000542223,0,0.24,0.39
ENST00000504346,3.75,1.76,3.58
ENST00000588920,0.06,0.03,0
ENST00000588927,0,0,0
ENST00000302746,47.35,69.51,42.11
ENST00000431541,0,0,0.08
ENST00000583884,1.33,0.64,2.16
ENST00000294517,1,0.97,0.69
ENST00000589039,0,0.12,0
ENST00000424330,0,0,0.11
ENST00000443239,0.16,0.06,0.15
ENST00000475459,0,0,0
ENST00000586876,0.03,0.03,0.04
ENST00000444914,0,0,0
ENST00000233114,28.41,19.86,25.97
ENST00000468463,0,0.29,0.24
ENST00000529142,1.82,0.48,1.48
ENST00000537820,0.18,0.42,0.6
ENST00000525870,0.07,0,0.06
ENST00000537829,0,0.66,0.51
ENST00000563236,0.02,0.06,0.05
ENST00000552329,0.1,0.04,0.2
ENST00000553540,0.07,0,0
ENST00000372080,0.33,0.32,0.36
ENST00000475675,0.12,0,0.24
ENST00000400520,0.02,0,0
ENST00000400521,8.42,12.49,8.96
ENST00000591470,20.77,13.6,9.53
ENST00000400525,0.06,0,0
ENST00000366924,0,0,0.02
ENST00000521117,0.03,0.17,0.05
ENST00000518740,0,0,0
ENST00000310926,1.02,1.4,2.91
ENST00000535793,0,0.29,0
ENST00000512320,0.67,0.21,0.11
ENST00000371837,3.31,4.84,4.34
ENST00000434478,0.46,0.59,1.17
ENST00000539875,0,0,0
ENST00000409027,0,0,0
ENST00000539873,0,0,0
ENST00000543575,0,0,0
ENST00000443497,0,0,0
ENST00000591696,0,0,0
ENST00000400294,0,0.17,0.61
ENST00000444124,0,0,0
ENST00000454195,0,0.09,0.16
ENST00000419059,0.05,0.12,0
ENST00000400094,4.15,1.5,2.07
ENST00000372560,0.26,0.14,0.31
ENST00000372561,2.35,0.54,1.33
ENST00000372562,0.07,0.08,0.8
ENST00000409125,0,0,0
ENST00000446202,0.05,0.16,0
ENST00000311521,0.87,0.81,0.6
ENST00000576721,0,0,0
ENST00000523234,0.37,5.6,0.78
ENST00000512583,0,0,0
ENST00000507631,0,0,0
ENST00000317257,0.59,0.5,0.24
ENST00000596265,0.6,0.69,0.45
ENST00000426220,0,0,0
ENST00000367382,0,0,0
ENST00000367381,0,0,0
ENST00000521409,0.19,0.12,0.14
ENST00000443824,3.15,3.8,4.49
ENST00000425035,0.13,0.05,0.19
ENST00000497791,0,0,0
ENST00000281923,0,0,0
ENST00000513454,0.06,0.14,0.05
ENST00000281382,9.78,4.94,9.26
ENST00000533028,0.57,0.47,1.21
ENST00000532266,0.2,0.18,0.17
ENST00000460874,0.79,0.28,0.08
ENST00000381550,0,0,0
ENST00000334661,9.12,3.14,4.25
ENST00000261693,24.18,22.22,22.72
ENST00000446677,3.49,2.84,2.25
ENST00000360719,1.12,2.24,2.73
ENST00000264409,0.06,0.06,0.21
ENST00000449159,0.11,0,0.75
ENST00000391877,0,0,0
ENST00000283871,0.04,0.02,0
ENST00000423767,0,0,0.12
ENST00000243077,48.75,108.11,46.34
ENST00000353196,12.06,7.99,11.33
ENST00000216568,1.06,2.41,1.4
ENST00000412570,0,0,0
ENST00000217961,3.08,4.39,1.07
ENST00000415254,2.62,0.38,0.7
ENST00000458185,0,0,0.13
ENST00000344924,14.1,9.9,28.14
ENST00000544080,0,0,0
ENST00000344920,5.84,7.53,6.55
ENST00000536880,0,0,0
ENST00000523262,0.36,0,0.72
ENST00000403172,2.13,2.33,4.13
ENST00000506866,0.47,0.73,0.72
ENST00000382198,0,0,0
ENST00000371873,21.27,17.23,36.33
ENST00000556242,0.04,0.04,0
ENST00000457981,0.42,0.22,0.69
ENST00000505986,0.03,0.21,0.28
ENST00000472186,3.03,0.73,0.46
ENST00000557967,0,0.21,0.11
ENST00000547688,0,0.08,0
ENST00000509097,0,0,0
ENST00000515859,1.71,2.67,8.37
ENST00000483267,0,0.04,0.04
ENST00000307503,0,0,0.01
ENST00000585633,0,0,0
ENST00000469678,0,0,0.11
ENST00000554720,0,0,0
ENST00000445323,0.74,0.58,1.57
ENST00000432169,0,0,0
ENST00000562095,0,0.1,0
ENST00000432161,0,0,0
ENST00000511354,0.05,0.15,0.31
ENST00000511355,0.26,0.66,0.69
ENST00000372585,0,0,0
ENST00000526727,0.07,0.06,0.11
ENST00000537564,0,0,0
ENST00000531248,0,0,0
ENST00000372368,0,0,0
ENST00000372369,0,0,0.06
ENST00000531534,0,0.27,0
ENST00000372367,0,0,0
ENST00000372365,0.06,0,0
ENST00000518188,0,0,0
ENST00000563193,0,0.06,0
ENST00000433418,0,0.06,0
ENST00000416053,0,0,0
ENST00000519588,0,0,0
ENST00000519584,0,0,0.22
ENST00000439546,0.54,1.05,0.52
ENST00000571846,0.26,0.72,0.83
ENST00000392401,0,0,0
ENST00000333167,29.92,28.82,19.78
ENST00000582365,8.5,1.8,1.8
ENST00000554279,0,0,0
ENST00000354775,63.99,46.81,45.35
ENST00000340124,49.09,23.62,87.87
ENST00000595031,0.21,0,0.1
ENST00000550173,0.13,0.36,0
ENST00000227667,0,0,0
ENST00000520188,0.18,0,0.05
ENST00000443006,0.42,0.16,0.54
ENST00000443555,0.04,0.27,0.2
ENST00000543964,0.83,4.25,1.15
ENST00000589992,0.66,0,0.15
ENST00000546302,0,0,0
ENST00000429147,0.93,1.69,3.08
ENST00000295256,1.22,0.59,1.61
ENST00000430147,0.9,0.64,0.14
ENST00000460201,3.31,2.64,1.17
ENST00000373414,0,0,0
ENST00000417903,0.04,0.09,0.12
ENST00000285381,0.12,0.23,0.39
ENST00000522579,0,0,0
ENST00000325006,1.4,1.66,1.23
ENST00000565683,1.81,6.83,7.8
ENST00000394965,1.3,1.39,1.92
ENST00000330062,20.06,18.89,39.25
ENST00000395384,3.37,3.69,8.68
ENST00000535898,0,0,0
ENST00000567132,0,0,0
ENST00000465581,0.11,0.25,0.2
ENST00000427899,0,0,0
ENST00000427898,0.45,0.45,0.54
ENST00000396913,0.22,0.38,1.49
ENST00000417015,0.04,0.04,0.06
ENST00000504577,0,0,0
ENST00000504570,0,0,0
ENST00000440662,0.06,0,0.05
ENST00000400087,1.71,1.38,1.45
ENST00000560309,0,0,0
ENST00000252945,1.2,4.81,0.26
ENST00000570396,5.12,1.83,4.33
ENST00000533495,0,0,0.05
ENST00000609196,0.77,2.04,0.96
ENST00000356921,2.85,9.32,2.53
ENST00000482086,0,0,0
ENST00000339843,0.11,0.26,0.6
ENST00000542156,0.13,0.53,0.7
ENST00000223423,0.25,0.18,0.83
